Window	Midpoint	Pi	Theta	S
  1546-1845	 1695	0.14639	0.11199	 124
  1571-1870	 1720	0.14912	0.11289	 125
  1596-1895	 1745	0.15877	0.11560	 128
  1621-1920	 1770	0.15615	0.11560	 128
  1646-1945	 1795	0.16030	0.11921	 132
  1671-1970	 1820	0.16822	0.12644	 140
  1696-1995	 1845	0.16705	0.12463	 138
  1721-2020	 1870	0.18173	0.13186	 146
  1746-2045	 1895	0.18182	0.13096	 145
  1771-2070	 1920	0.17493	0.12644	 140
  1796-2095	 1945	0.17501	0.12554	 139
  1821-2120	 1970	0.17140	0.12463	 138
  1846-2145	 1995	0.16014	0.11560	 128
  1871-2170	 2020	0.15622	0.11199	 124
  1896-2195	 2045	0.14922	0.10928	 121
  1921-2220	 2070	0.15211	0.11199	 124
  1946-2245	 2095	0.14428	0.10747	 119
  1971-2270	 2120	0.13943	0.10386	 115
  1996-2295	 2145	0.13908	0.10476	 116
  2021-2320	 2170	0.12655	0.09754	 108
  2046-2345	 2195	0.12469	0.09664	 107
  2071-2370	 2220	0.12411	0.09393	 104
  2096-2395	 2245	0.11909	0.09031	 100
  2121-2420	 2270	0.12868	0.09664	 107
  2146-2445	 2295	0.14336	0.10747	 119
  2171-2470	 2320	0.14398	0.10928	 121
  2196-2495	 2345	0.14760	0.11199	 124
  2221-2520	 2370	0.14717	0.11109	 123
  2246-2545	 2395	0.15112	0.11289	 125
  2271-2570	 2420	0.15022	0.11018	 122
  2296-2595	 2445	0.15066	0.11109	 123
  2321-2620	 2470	0.15485	0.11651	 129
  2346-2645	 2495	0.16246	0.12192	 135
  2371-2670	 2520	0.16192	0.12554	 139
  2396-2695	 2545	0.16625	0.12734	 141
  2421-2720	 2570	0.15673	0.12102	 134
  2446-2745	 2595	0.14726	0.11199	 124
  2471-2770	 2620	0.15213	0.11470	 127
  2496-2795	 2645	0.15447	0.11380	 126
  2521-2820	 2670	0.15946	0.12012	 133
  2546-2845	 2695	0.16300	0.12463	 138
  2571-2870	 2720	0.18206	0.13818	 153
  2596-2895	 2745	0.19154	0.14450	 160
  2621-2920	 2770	0.19163	0.14270	 158
  2646-2945	 2795	0.18962	0.14089	 156
  2671-2973	 2820	0.19196	0.13908	 154
  2696-2998	 2845	0.18174	0.13276	 147
  2721-3023	 2870	0.18646	0.13818	 153
  2746-3062	 2895	0.19271	0.14541	 161
  2771-3087	 2920	0.18763	0.14179	 157
  2796-3112	 2945	0.18219	0.14089	 156
  2821-3137	 2973	0.17780	0.13637	 151
  2846-3162	 2998	0.18091	0.13818	 153
  2871-3187	 3023	0.16526	0.13096	 145
  2896-3212	 3062	0.16433	0.13096	 145
  2921-3237	 3087	0.16296	0.13096	 145
  2946-3262	 3112	0.15979	0.13276	 147
  2974-3287	 3137	0.16387	0.13457	 149
  2999-3312	 3162	0.17696	0.14450	 160
  3024-3337	 3187	0.17650	0.14360	 159
  3063-3362	 3212	0.16331	0.13547	 150
  3088-3387	 3237	0.16577	0.13818	 153
  3113-3412	 3262	0.17407	0.14360	 159
  3138-3437	 3287	0.18524	0.14992	 166
  3163-3462	 3312	0.17791	0.14541	 161
  3188-3487	 3337	0.17596	0.14179	 157
  3213-3512	 3362	0.17282	0.13728	 152
  3238-3537	 3387	0.17557	0.13637	 151
  3263-3562	 3412	0.17864	0.13457	 149
  3288-3587	 3437	0.17601	0.13637	 151
  3313-3612	 3462	0.17643	0.13728	 152
  3338-3637	 3487	0.17012	0.13186	 146
  3363-3662	 3512	0.17347	0.13186	 146
  3388-3687	 3537	0.17588	0.13367	 148
  3413-3720	 3562	0.17461	0.13367	 148
  3438-3747	 3587	0.15609	0.12283	 136
  3463-3773	 3612	0.15261	0.12192	 135
  3488-3801	 3637	0.14743	0.11831	 131
  3513-3826	 3662	0.13709	0.11380	 126
  3538-3868	 3687	0.13729	0.11831	 131
  3563-3893	 3720	0.14298	0.12192	 135
  3588-3918	 3747	0.15746	0.12825	 142
  3613-3943	 3773	0.16497	0.13547	 150
  3638-4013	 3801	0.19879	0.15173	 168
  3663-4038	 3826	0.22526	0.16528	 183
  3688-4078	 3868	0.21547	0.15715	 174
  3721-4106	 3893	0.22007	0.15715	 174
  3748-4131	 3918	0.23012	0.16257	 180
  3774-4156	 3943	0.23954	0.16618	 184
  3802-4181	 4013	0.25072	0.17250	 191
  3827-4206	 4038	0.27237	0.18514	 205
  3869-4231	 4078	0.27407	0.18424	 204
  3894-4262	 4106	0.27738	0.18605	 206
  3919-4287	 4131	0.25945	0.17973	 199
  3944-4312	 4156	0.24847	0.17160	 190
  4014-4337	 4181	0.22088	0.16076	 178
  4039-4362	 4206	0.19848	0.15173	 168
  4079-4387	 4231	0.21539	0.16076	 178
  4107-4412	 4262	0.20938	0.15805	 175
  4132-4437	 4287	0.21228	0.16166	 179
  4157-4462	 4312	0.20652	0.15715	 174
  4182-4487	 4337	0.20449	0.15353	 170
  4207-4512	 4362	0.18328	0.14270	 158
  4232-4537	 4387	0.18225	0.14179	 157
  4263-4562	 4412	0.17012	0.13367	 148
  4288-4587	 4437	0.17717	0.13367	 148
  4313-4615	 4462	0.19353	0.13999	 155
  4338-4640	 4487	0.20526	0.14360	 159
  4363-4665	 4512	0.21026	0.14631	 162
  4388-4690	 4537	0.19949	0.14270	 158
  4413-4715	 4562	0.19482	0.14089	 156
  4438-4740	 4587	0.18727	0.13457	 149
  4463-4765	 4615	0.19406	0.13818	 153
  4488-4790	 4640	0.19065	0.13728	 152
  4513-4815	 4665	0.20814	0.14541	 161
  4538-4840	 4690	0.21137	0.14902	 165
  4563-4865	 4715	0.23026	0.16076	 178
  4588-4890	 4740	0.23373	0.16166	 179
  4616-4915	 4765	0.21353	0.15082	 167
  4641-4940	 4790	0.20626	0.14992	 166
  4666-4965	 4815	0.20892	0.14902	 165
  4691-4990	 4840	0.21211	0.14721	 163
  4716-5015	 4865	0.21419	0.14721	 163
  4741-5040	 4890	0.21401	0.15082	 167
  4766-5065	 4915	0.21516	0.14902	 165
  4791-5090	 4940	0.22216	0.15624	 173
  4816-5115	 4965	0.21692	0.15173	 168
  4841-5140	 4990	0.21576	0.14902	 165
  4866-5165	 5015	0.19827	0.13908	 154
  4891-5190	 5040	0.19777	0.14179	 157
  4916-5215	 5065	0.21345	0.15173	 168
  4941-5240	 5090	0.21469	0.15082	 167
  4966-5265	 5115	0.20834	0.14902	 165
  4991-5290	 5140	0.20954	0.15263	 169
  5016-5315	 5165	0.21921	0.15715	 174
  5041-5340	 5190	0.22007	0.15353	 170
  5066-5365	 5215	0.21765	0.15444	 171
  5091-5390	 5240	0.21688	0.15173	 168
  5116-5415	 5265	0.23032	0.15986	 177
  5141-5440	 5290	0.22308	0.15534	 172
  5166-5465	 5315	0.21842	0.15263	 169
  5191-5490	 5340	0.20485	0.14541	 161
  5216-5539	 5365	0.18967	0.13999	 155
  5241-5570	 5390	0.17794	0.13637	 151
  5266-5612	 5415	0.18569	0.13908	 154
  5291-5637	 5440	0.20599	0.14631	 162
  5316-5662	 5465	0.21577	0.15082	 167
  5341-5687	 5490	0.22686	0.15805	 175
  5366-5712	 5539	0.22119	0.15624	 173
  5391-5737	 5570	0.21738	0.15444	 171
  5416-5762	 5612	0.20755	0.14812	 164
  5441-5787	 5637	0.20617	0.15263	 169
  5466-5812	 5662	0.20458	0.15173	 168
  5491-5837	 5687	0.22207	0.15986	 177
  5540-5862	 5712	0.24216	0.16889	 187
  5571-5887	 5737	0.25428	0.17611	 195
  5613-5912	 5762	0.25016	0.17431	 193
  5638-5937	 5787	0.22510	0.16708	 185
  5663-5962	 5812	0.20216	0.15444	 171
  5688-5987	 5837	0.18105	0.14089	 156
  5713-6017	 5862	0.17545	0.13728	 152
  5738-6043	 5887	0.16610	0.13005	 144
  5763-6074	 5912	0.16556	0.13367	 148
  5788-6102	 5937	0.15693	0.12283	 136
  5813-6127	 5962	0.15416	0.12102	 134
  5838-6165	 5987	0.14499	0.12012	 133
  5863-6192	 6017	0.12187	0.10567	 117
  5888-6220	 6043	0.10669	0.09754	 108
  5913-6247	 6074	0.09231	0.09031	 100
  5938-6275	 6102	0.09070	0.08851	  98
  5963-6313	 6127	0.08937	0.09031	 100
  5988-6338	 6165	0.09747	0.10115	 112
  6018-6395	 6192	0.10593	0.10928	 121
  6044-6420	 6220	0.12942	0.12463	 138
  6077-6445	 6247	0.13390	0.12734	 141
  6103-6470	 6275	0.15416	0.14179	 157
  6128-6495	 6313	0.17657	0.15624	 173
  6166-6520	 6338	0.18231	0.15353	 170
  6193-6545	 6395	0.18772	0.15895	 176
  6221-6570	 6420	0.19916	0.16076	 178
  6248-6595	 6445	0.21325	0.16798	 186
  6276-6620	 6470	0.22440	0.17340	 192
  6314-6645	 6495	0.23505	0.17973	 199
  6339-6670	 6520	0.23759	0.17611	 195
  6396-6695	 6545	0.23086	0.16979	 188
  6421-6720	 6570	0.21162	0.15715	 174
  6446-6745	 6595	0.19177	0.14270	 158
  6471-6770	 6620	0.18256	0.13728	 152
  6496-6795	 6645	0.16727	0.12915	 143
  6521-6820	 6670	0.15750	0.12644	 140
  6546-6845	 6695	0.15829	0.12644	 140
  6571-6879	 6720	0.16235	0.13186	 146
  6596-6904	 6745	0.17547	0.13818	 153
  6621-6929	 6770	0.17080	0.13728	 152
  6646-6954	 6795	0.16113	0.13186	 146
  6671-6979	 6820	0.16453	0.13005	 144
  6696-7004	 6845	0.17217	0.13005	 144
  6721-7029	 6879	0.16982	0.12825	 142
  6746-7054	 6904	0.17460	0.13096	 145
  6771-7079	 6929	0.18681	0.13818	 153
  6796-7104	 6954	0.19892	0.14541	 161
  6821-7129	 6979	0.20096	0.14450	 160
  6846-7154	 7004	0.20594	0.14450	 160
  6880-7179	 7029	0.18921	0.13457	 149
  6905-7204	 7054	0.16801	0.12283	 136
  6930-7229	 7079	0.17443	0.12463	 138
  6955-7254	 7104	0.18343	0.13096	 145
  6980-7279	 7129	0.17635	0.13096	 145
  7005-7304	 7154	0.17513	0.13367	 148
  7030-7329	 7179	0.18061	0.14179	 157
  7055-7354	 7204	0.19567	0.14812	 164
  7080-7379	 7229	0.19916	0.14992	 166
  7105-7404	 7254	0.19547	0.14541	 161
  7130-7429	 7279	0.19256	0.14631	 162
  7155-7454	 7304	0.18685	0.14360	 159
  7180-7479	 7329	0.20559	0.15263	 169
  7205-7504	 7354	0.20978	0.15444	 171
  7230-7529	 7379	0.20478	0.14992	 166
  7255-7554	 7404	0.21132	0.15263	 169
  7280-7579	 7429	0.22978	0.16437	 182
  7305-7604	 7454	0.24962	0.17340	 192
  7330-7629	 7479	0.25976	0.17973	 199
  7355-7654	 7504	0.26505	0.18243	 202
  7380-7679	 7529	0.26889	0.18334	 203
  7405-7707	 7554	0.27876	0.18966	 210
  7430-7732	 7579	0.29370	0.19418	 215
  7455-7757	 7604	0.31138	0.20140	 223
  7480-7782	 7629	0.31880	0.20411	 226
  7505-7828	 7654	0.34120	0.21585	 239
  7530-7853	 7679	0.35397	0.22308	 247
  7555-7881	 7707	0.35386	0.22308	 247
  7580-7906	 7732	0.35387	0.22217	 246
  7605-7934	 7757	0.34697	0.22127	 245
  7630-7959	 7782	0.34383	0.21766	 241
  7655-7984	 7828	0.33817	0.22127	 245
  7680-8009	 7853	0.34345	0.22217	 246
  7708-8034	 7881	0.32933	0.21856	 242
  7733-8059	 7906	0.31472	0.21585	 239
  7758-8084	 7934	0.30523	0.21675	 240
  7783-8137	 7959	0.27777	0.20050	 222
  7829-8163	 7984	0.25710	0.19056	 211
  7854-8269	 8009	0.24636	0.18785	 208
  7882-8294	 8034	0.25406	0.19147	 212
  7907-8319	 8059	0.26439	0.19418	 215
  7935-8344	 8084	0.25614	0.18876	 209
  7960-8369	 8137	0.25337	0.18695	 207
  7985-8394	 8163	0.25101	0.18514	 205
  8010-8419	 8269	0.24132	0.18243	 202
  8035-8444	 8294	0.24709	0.18063	 200
  8060-8469	 8319	0.25544	0.18153	 201
  8108-8494	 8344	0.25617	0.17882	 198
  8138-8519	 8369	0.26216	0.18514	 205
  8164-8544	 8394	0.25580	0.18424	 204
  8270-8569	 8419	0.24433	0.17340	 192
  8295-8594	 8444	0.22933	0.16347	 181
  8320-8619	 8469	0.20149	0.15444	 171
  8345-8644	 8494	0.20315	0.15715	 174
  8370-8669	 8519	0.21804	0.16257	 180
  8395-8703	 8544	0.22754	0.16618	 184
  8420-8734	 8569	0.22182	0.16166	 179
  8445-8759	 8594	0.20706	0.15353	 170
  8470-8784	 8619	0.19958	0.14992	 166
  8495-8809	 8644	0.18883	0.14270	 158
  8520-8834	 8669	0.18939	0.14270	 158
  8545-8859	 8703	0.18934	0.14089	 156
  8570-8884	 8734	0.20449	0.15082	 167
  8595-8912	 8759	0.22285	0.16166	 179
  8620-8937	 8784	0.23549	0.16347	 181
  8645-8962	 8809	0.23734	0.16528	 183
  8670-8987	 8834	0.22215	0.15715	 174
  8704-9012	 8859	0.20126	0.14270	 158
  8735-9037	 8884	0.19804	0.14179	 157
  8760-9062	 8912	0.22083	0.15353	 170
  8785-9087	 8937	0.22607	0.15715	 174
  8810-9112	 8962	0.22970	0.15895	 176
  8835-9137	 8987	0.22850	0.15986	 177
  8860-9162	 9012	0.24014	0.16708	 185
  8885-9187	 9037	0.23070	0.16257	 180
  8913-9212	 9062	0.20884	0.15263	 169
  8938-9237	 9087	0.19897	0.14902	 165
  8963-9262	 9112	0.18671	0.14089	 156
  8988-9287	 9137	0.18523	0.14450	 160
  9013-9312	 9162	0.20196	0.15444	 171
  9038-9337	 9187	0.21001	0.15624	 173
  9063-9362	 9212	0.19360	0.14992	 166
  9088-9387	 9237	0.19557	0.15263	 169
  9113-9419	 9262	0.21231	0.16257	 180
  9138-9444	 9287	0.22802	0.16798	 186
  9163-9469	 9312	0.21621	0.16257	 180
  9188-9494	 9337	0.21588	0.16437	 182
  9213-9528	 9362	0.22663	0.16889	 187
  9238-9553	 9387	0.23939	0.17521	 194
  9263-9578	 9419	0.24603	0.17702	 196
  9288-9603	 9444	0.24681	0.17611	 195
  9313-9628	 9469	0.23138	0.17160	 190
  9338-9653	 9494	0.22256	0.16708	 185
  9363-9681	 9528	0.22357	0.16979	 188
  9388-9706	 9553	0.22001	0.16798	 186
  9420-9731	 9578	0.20553	0.15895	 176
  9445-9756	 9603	0.19253	0.15534	 172
  9470-9781	 9628	0.19539	0.15805	 175
  9495-9809	 9653	0.18664	0.14992	 166
  9529-9836	 9681	0.17043	0.13908	 154
  9554-9865	 9706	0.15837	0.13276	 147
  9579-9902	 9731	0.14679	0.12734	 141
  9604-9927	 9756	0.13117	0.11560	 128
  9629-9973	 9781	0.14448	0.11921	 132
  9654-9998	 9809	0.15336	0.12554	 139
 9682-10023	 9836	0.16758	0.12915	 143
 9707-10048	 9865	0.16248	0.12554	 139
 9732-10073	 9902	0.16349	0.12644	 140
 9757-10098	 9927	0.17192	0.13096	 145
 9782-10123	 9973	0.17100	0.12915	 143
 9810-10148	 9998	0.17507	0.13186	 146
 9837-10173	10023	0.18974	0.14270	 158
 9866-10198	10048	0.20320	0.15173	 168
 9903-10223	10073	0.23596	0.16798	 186
 9928-10272	10098	0.27117	0.18785	 208
 9974-10330	10123	0.28366	0.19237	 213
 9999-10364	10148	0.27150	0.18876	 209
10024-10389	10173	0.26270	0.18424	 204
10049-10414	10198	0.26908	0.18876	 209
10074-10439	10223	0.26876	0.19147	 212
10099-10464	10272	0.26895	0.19147	 212
10124-10492	10330	0.27426	0.19598	 217
10149-10517	10364	0.28631	0.20050	 222
10174-10542	10389	0.27929	0.19779	 219
10199-10567	10414	0.27410	0.19237	 213
10224-10592	10439	0.24698	0.17702	 196
10285-10617	10464	0.22924	0.16618	 184
10331-10642	10492	0.20486	0.15624	 173
10365-10667	10517	0.20801	0.15534	 172
10390-10692	10542	0.20634	0.15263	 169
10415-10717	10567	0.20075	0.14721	 163
10440-10742	10592	0.20018	0.14360	 159
10465-10767	10617	0.19327	0.13818	 153
10493-10792	10642	0.18850	0.13457	 149
10518-10817	10667	0.18321	0.13637	 151
10543-10842	10692	0.18910	0.13818	 153
10568-10867	10717	0.18292	0.13547	 150
10593-10892	10742	0.18339	0.13547	 150
10618-10917	10767	0.17395	0.13096	 145
10643-10942	10792	0.17639	0.13005	 144
10668-10967	10817	0.17598	0.13276	 147
10693-10992	10842	0.17134	0.13276	 147
10718-11017	10867	0.17152	0.13276	 147
10743-11042	10892	0.16903	0.13186	 146
10768-11067	10917	0.17265	0.13728	 152
10793-11092	10942	0.17344	0.13818	 153
10818-11117	10967	0.16696	0.13547	 150
10843-11142	10992	0.16204	0.13276	 147
10868-11167	11017	0.16203	0.13367	 148
10893-11192	11042	0.17043	0.14179	 157
10918-11217	11067	0.18928	0.15353	 170
10943-11242	11092	0.18903	0.15353	 170
10968-11267	11117	0.18084	0.14541	 161
10993-11292	11142	0.17843	0.14089	 156
11018-11317	11167	0.17696	0.13818	 153
11043-11342	11192	0.17648	0.13637	 151
11068-11367	11217	0.17887	0.13186	 146
11093-11392	11242	0.18303	0.13276	 147
11118-11420	11267	0.19726	0.13728	 152
11143-11445	11292	0.19950	0.13908	 154
11168-11470	11317	0.20397	0.13999	 155
11193-11495	11342	0.19979	0.13457	 149
11218-11520	11367	0.18821	0.12915	 143
11243-11545	11392	0.19547	0.13457	 149
11268-11570	11420	0.20887	0.14270	 158
11293-11595	11445	0.22487	0.15353	 170
11318-11624	11470	0.23022	0.15624	 173
11343-11652	11495	0.22029	0.15082	 167
11368-11679	11520	0.20714	0.14450	 160
11393-11719	11545	0.20242	0.14270	 158
11421-11744	11570	0.18924	0.13728	 152
11446-11769	11595	0.17993	0.12915	 143
11471-11794	11624	0.17394	0.12734	 141
11496-11819	11652	0.17370	0.12644	 140
11521-11844	11679	0.17296	0.12463	 138
11546-11869	11719	0.16375	0.11741	 130
11571-11894	11744	0.15560	0.11380	 126
11596-11919	11769	0.13642	0.10657	 118
11625-11944	11794	0.14037	0.11109	 123
11653-11969	11819	0.16043	0.12373	 137
11680-11994	11844	0.17250	0.13547	 150
11720-12019	11869	0.17303	0.13457	 149
11745-12044	11894	0.18356	0.13637	 151
11770-12069	11919	0.18592	0.13728	 152
11795-12094	11944	0.18908	0.13999	 155
11820-12119	11969	0.18570	0.13999	 155
11845-12144	11994	0.18635	0.13999	 155
11870-12169	12019	0.18839	0.14631	 162
11895-12194	12044	0.19846	0.15082	 167
11920-12219	12069	0.21340	0.15895	 176
11945-12244	12094	0.21777	0.16076	 178
11970-12269	12119	0.21079	0.15805	 175
11995-12294	12144	0.20113	0.14812	 164
12020-12319	12169	0.20115	0.14541	 161
12045-12344	12194	0.19103	0.13999	 155
12070-12369	12219	0.18800	0.14179	 157
12095-12394	12244	0.17880	0.13457	 149
12120-12419	12269	0.18233	0.13908	 154
12145-12444	12294	0.18636	0.14270	 158
12170-12469	12319	0.19913	0.14631	 162
12195-12494	12344	0.19136	0.14089	 156
12220-12519	12369	0.18329	0.13096	 145
12245-12544	12394	0.16580	0.12373	 137
12270-12569	12419	0.16420	0.12373	 137
12295-12594	12444	0.17930	0.13186	 146
12320-12631	12469	0.18650	0.13818	 153
12345-12656	12494	0.17653	0.13457	 149
12370-12683	12519	0.17300	0.13005	 144
12395-12817	12544	0.17810	0.13367	 148
12420-12844	12569	0.18603	0.13908	 154
12445-12869	12594	0.17366	0.13096	 145
12470-12895	12631	0.15991	0.12554	 139
12495-12920	12656	0.15461	0.12554	 139
12520-12945	12683	0.15472	0.13276	 147
12545-12970	12817	0.16158	0.13818	 153
12570-12995	12844	0.15854	0.13637	 151
12595-13020	12869	0.14266	0.13005	 144
12632-13045	12895	0.13397	0.12554	 139
12657-13107	12920	0.15776	0.14179	 157
12684-13132	12945	0.17090	0.15534	 172
12818-13163	12970	0.17179	0.15715	 174
12845-13193	12995	0.17784	0.15624	 173
12870-13222	13020	0.17661	0.15624	 173
12896-13248	13045	0.17723	0.15444	 171
12921-13277	13107	0.18922	0.16166	 179
12946-13302	13132	0.19490	0.16166	 179
12971-13327	13163	0.19250	0.15895	 176
12996-13358	13193	0.20760	0.16528	 183
13021-13383	13222	0.21777	0.16979	 188
13046-13413	13248	0.21145	0.16708	 185
13108-13438	13277	0.19235	0.15263	 169
13133-13463	13302	0.17955	0.13818	 153
13164-13492	13327	0.17457	0.13276	 147
13194-13517	13358	0.14768	0.11831	 131
13223-13542	13383	0.14582	0.11651	 129
13249-13567	13413	0.13323	0.10928	 121
13278-13592	13438	0.12457	0.10386	 115
13303-13617	13463	0.10992	0.09573	 106
13328-13642	13492	0.10545	0.08851	  98
13359-13674	13517	0.09801	0.08760	  97
13384-13701	13542	0.11231	0.09483	 105
13414-13727	13567	0.11730	0.09483	 105
13439-13757	13592	0.12360	0.09935	 110
13464-13782	13617	0.13738	0.11109	 123
13493-13807	13642	0.14082	0.11380	 126
13518-13832	13674	0.13816	0.11018	 122
13543-13857	13701	0.14415	0.11380	 126
13568-13882	13727	0.14614	0.11380	 126
13593-13907	13757	0.14059	0.11018	 122
13618-13932	13782	0.14003	0.10838	 120
13643-13957	13807	0.13644	0.10747	 119
13675-13982	13832	0.12352	0.09664	 107
13702-14011	13857	0.10626	0.08941	  99
13728-14036	13882	0.10041	0.08670	  96
13758-14095	13907	0.10386	0.08851	  98
13783-14122	13932	0.09152	0.07857	  87
13808-14149	13957	0.09140	0.08038	  89
13833-14176	13982	0.10531	0.09031	 100
13858-14203	14011	0.10573	0.09483	 105
13883-14235	14036	0.12528	0.11018	 122
13908-14272	14095	0.13847	0.11651	 129
13933-14298	14122	0.14888	0.12734	 141
13958-14326	14149	0.15329	0.13547	 150
13983-14352	14176	0.14939	0.13276	 147
14012-14377	14203	0.14410	0.12825	 142
14037-14417	14235	0.16582	0.14360	 159
14096-14442	14272	0.16816	0.14812	 164
14123-14476	14298	0.18097	0.15986	 177
14150-14503	14326	0.18897	0.16437	 182
14177-14530	14352	0.17947	0.15805	 175
14204-14558	14377	0.18642	0.15805	 175
14236-14584	14417	0.17128	0.14450	 160
14273-14610	14442	0.15051	0.13186	 146
14299-14637	14476	0.14182	0.12373	 137
14327-14662	14503	0.13834	0.11560	 128
14353-14689	14530	0.14563	0.12283	 136
14378-14719	14558	0.14939	0.12554	 139
14418-14744	14584	0.14427	0.12012	 133
14443-14769	14610	0.13335	0.11018	 122
14477-14796	14637	0.12091	0.10115	 112
14504-14822	14662	0.11852	0.09754	 108
14531-14851	14689	0.13080	0.10476	 116
14559-14877	14719	0.12260	0.10296	 114
14585-14903	14744	0.12126	0.10386	 115
14611-14936	14769	0.12008	0.10296	 114
14638-14961	14796	0.11534	0.09754	 108
14663-15004	14820	0.11707	0.10160	 111
